test_image,anchor_image,score,num_matches,num_inliers,inlier_ratio,mean_error,vessel_sim
test_05.tiff,anchor_04.tiff,357.3517468562475,422,116,0.27488151658767773,1.3452985286712646,0.22797186055276214
test_05.tiff,anchor_05.tiff,355.726701686642,410,116,0.28292682926829266,1.5965778827667236,0.2295562894511025
test_05.tiff,anchor_02.tiff,47.755950821769616,8,5,0.625,0.0,0.19389877054424032
test_05.tiff,anchor_03.tiff,38.90999952133003,8,4,0.5,0.0,0.17274998803325067
test_05.tiff,anchor_01.tiff,36.15582910815479,17,6,0.35294117647058826,0.44384923577308655,0.18972439838789876
test_06.tiff,anchor_05.tiff,743.3327141994364,360,235,0.6527777777777778,1.2223492860794067,0.5500099344240154
test_06.tiff,anchor_04.tiff,726.8252095977308,367,230,0.6267029972752044,1.2598364353179932,0.545894529731662
test_06.tiff,anchor_02.tiff,58.01173211413018,13,6,0.46153846153846156,0.0,0.5387548413147928
test_06.tiff,anchor_03.tiff,50.131810526805424,9,4,0.4444444444444444,0.0,0.5088508187256912
test_06.tiff,anchor_01.tiff,46.40421674464872,11,5,0.45454545454545453,0.6982873678207397,0.47021743763491136
test_07.tiff,anchor_04.tiff,608.990575997032,627,195,0.31100478468899523,1.441938042640686,0.5771472237649425
test_07.tiff,anchor_05.tiff,590.3281273998675,613,189,0.3083197389885807,1.580466628074646,0.5909767716230371
test_07.tiff,anchor_01.tiff,63.68816719545848,9,6,0.6666666666666666,0.0,0.4755375132197955
test_07.tiff,anchor_03.tiff,59.057702010840735,6,4,0.6666666666666666,0.0,0.5097758836043518
test_07.tiff,anchor_02.tiff,56.64176253613961,7,4,0.5714285714285714,0.0,0.5446154919749189
test_08.tiff,anchor_04.tiff,556.763609560873,381,180,0.47244094488188976,1.5762970447540283,0.26190870309074055
test_08.tiff,anchor_05.tiff,448.3063439570355,385,145,0.37662337662337664,1.5126961469650269,0.2585744516955161
test_08.tiff,anchor_03.tiff,47.55026758957193,7,5,0.7142857142857143,0.5224980115890503,0.20397057777139418
test_08.tiff,anchor_02.tiff,47.23860115820193,6,4,0.6666666666666666,0.0,0.21429836228838162
test_08.tiff,anchor_01.tiff,43.653655813679634,10,5,0.5,0.0,0.21634139534199082
test_09.tiff,anchor_04.tiff,298.41580244082206,362,93,0.2569060773480663,1.5386006832122803,0.5362091203149412
test_09.tiff,anchor_05.tiff,236.80260981676392,313,73,0.23322683706070288,1.5583714246749878,0.5235126932933929
test_09.tiff,anchor_01.tiff,55.99408491852654,12,6,0.5,0.0,0.44985212296316357
test_09.tiff,anchor_02.tiff,48.80752498938527,10,4,0.4,0.0,0.5201881247346318
test_09.tiff,anchor_03.tiff,44.90664163289748,12,4,0.3333333333333333,0.0,0.4893327074891038
test_10.tiff,anchor_02.tiff,219.67063082649875,136,63,0.4632352941176471,1.097925066947937,0.5231154899344089
test_10.tiff,anchor_03.tiff,57.01851664851117,12,6,0.5,0.0,0.47546291621277925
test_10.tiff,anchor_04.tiff,54.528855154719224,7,4,0.5714285714285714,0.0,0.49179280743940934
test_10.tiff,anchor_05.tiff,-2657.7469648505835,4,4,1.0,341.1830139160156,0.4929286619385428
test_10.tiff,anchor_01.tiff,-7999981.789627569,6,0,0.0,inf,0.4552593107874986
test_11.tiff,anchor_03.tiff,747.1462538127971,695,241,0.34676258992805753,1.5122947692871094,0.5593527092492935
test_11.tiff,anchor_01.tiff,60.252834062994395,17,8,0.47058823529411764,0.19570107758045197,0.47487283179683265
test_11.tiff,anchor_02.tiff,56.375880694822754,7,4,0.5714285714285714,0.0,0.5379684459419974
test_11.tiff,anchor_05.tiff,49.72986934673339,13,5,0.38461538461538464,0.08668124675750732,0.5009675984044515
test_11.tiff,anchor_04.tiff,47.528489679267636,15,5,0.3333333333333333,0.11537833511829376,0.5029545756720163
test_12.tiff,anchor_05.tiff,498.76841301836504,227,155,0.6828193832599119,1.4432562589645386,0.4500421939921228
test_12.tiff,anchor_04.tiff,433.9090055632781,256,136,0.53125,1.6283133029937744,0.4421377996807068
test_12.tiff,anchor_02.tiff,68.3549488796937,4,4,1.0,0.0,0.40887372199234223
test_12.tiff,anchor_03.tiff,54.26859615548074,6,4,0.6666666666666666,0.0,0.390048237220352
test_12.tiff,anchor_01.tiff,41.36727983415618,11,4,0.36363636363636365,0.0,0.3705456322175409
test_13.tiff,anchor_04.tiff,726.707806085099,727,235,0.32324621733149933,1.7227437496185303,0.563997684719682
test_13.tiff,anchor_05.tiff,712.7550050869733,695,230,0.33093525179856115,1.7524734735488892,0.5884345700855471
